artist,album,albumyear,genre,bayesian,votes,rating,played
3,...To The Power of Three,1988,"Crossover, AOR",4.10,22,4.14,133
39,Amalgama,2015,Progressive,0.00,0,0.00,7
1974,1974 & The Death Of The Herald,2013,Progressive,4.02,9,3.78,20
35007,Liquid.,2002,"Psychedelic, Instrumental",4.02,34,3.97,79
35007,Phase V,2005,"Psychedelic, Instrumental",4.11,27,4.17,147
24Unity,24Unity,2002,Crossover,3.92,24,3.69,74
24Unity,Lifeshines,2004,Crossover,3.93,20,3.65,63
24Unity,Unreleased Versions,2002,Crossover,4.08,5,4.10,17
25 Yard Screamer,Cassandra,2007,Progressive,4.06,5,4.00,13
25 Yard Screamer,Blacklight (promo),2006,Progressive,4.10,23,4.13,93
3rd & The Mortal,Painting on Glass,2004,Post-Metal,4.02,4,3.50,7
3rd World Electric,Kilimanjaro Secret Brew,2009,Jazz,4.07,55,4.07,135
3rdegree,Live At ProgDay 2009,2009,"Crossover, AOR",0.00,0,0.00,0
3rdegree,The Long Division,2012,"Crossover, AOR",0.00,0,0.00,0
3rdegree,Narrow-Caster,2008,"Crossover, AOR",3.95,71,3.88,241
3rdegree,The Reunion Concerts,2008,"Crossover, AOR",4.09,6,4.17,8
3rdegree,Ones & Zeros: Vol. 1,2015,"Crossover, AOR",4.09,9,4.17,27
4/3 De Trio,Ersatz,2004,Eclectic,4.08,3,4.17,4
4front,Radio Waves Goodbye,2001,"Jazz, Instrumental",4.04,10,3.90,21
4front,Malice In Wonderland,2012,"Jazz, Instrumental",4.13,23,4.22,49
4front,Gravity,1998,"Jazz, Instrumental",4.14,16,4.28,40
6:33,Orphan Of Good Manners,2011,"Experimental, Post-Metal",4.07,2,4.00,7
6:33,The Stench From The Swelling (A True Story),2013,"Experimental, Post-Metal",4.13,9,4.39,11
6:33,Deadly Scenes,2015,"Experimental, Post-Metal",4.24,14,4.68,27
65daysofstatic,One Time for All Time,2005,,4.03,5,3.70,4
7 Months,7 Months,2001,Progressive,3.97,28,3.84,174
7 Months,7 Months,2001,,4.03,5,3.70,18
7Days,Into Forever,2010,"Melodic, Christian",4.13,44,4.18,169
7Days,The Weight Of The World,2006,"Melodic, Christian",4.31,163,4.37,1089
7for4,Splash,2014,"Jazz, Technical DTI, Guitar Spotlight, Instrumental",4.05,11,3.95,33
7for4,Time,2004,"Jazz, Technical DTI, Guitar Spotlight, Instrumental",4.16,99,4.19,365
7for4,Contact,2001,"Jazz, Technical DTI, Guitar Spotlight, Instrumental",4.19,108,4.23,298
7for4,Diffusion,2008,"Jazz, Technical DTI, Guitar Spotlight, Instrumental",4.33,180,4.38,777
A Chinese Firedrill,Circles,2006,Progressive,4.17,96,4.21,444
A Cosmic Trail,II: Mistral,2013,Heavy,4.06,5,4.00,14
A Forest Of Stars,The Corpse Of Rebirth,2008,Harsh Vocals,0.00,0,0.00,1
A Forest Of Stars,A Shadowplay For Yesterdays,2012,Harsh Vocals,4.04,2,3.50,7
A Forest Of Stars,Beware The Sword You Cannot See,2015,Harsh Vocals,4.06,3,3.83,19
A Forest Of Stars,Opportunistic Thieves Of Spring,2010,Harsh Vocals,4.06,1,3.50,1
A Liquid Landscape,Nightingale Express,2012,Crossover ,4.05,7,3.93,30
A Liquid Landscape,The Largest Fire Known To Man,2014,Crossover,4.05,5,3.90,8
A Lonely Crowd,User Hostile,2011,Progressive,4.04,2,3.50,4
A Perfect Circle,eMOTIVe,2004,Goth Doom,3.90,71,3.81,269
A Perfect Circle,Thirteenth Step,2003,Goth Doom,4.22,104,4.28,560
A Perfect Circle,Mer de Noms,2000,Goth Doom,4.29,90,4.38,443
A Perfect Day,The Deafening Silence,2016,Melodic,0.00,0,0.00,6
A Sense of Gravity,A Sense of Gravity,2011,"Harsh Vocals, Jazz, Djent",3.97,14,3.68,18
A Silver Mt. Zion,Fuck Off Get Free We Pour Light On Everything,2014,Post-Rock,3.97,4,3.00,3
A Silver Mt. Zion,He Has Left Us Alone But Shafts Of Light Sometimes Grace The Corners Of Our Rooms...,2000,Post-Rock,4.01,3,3.17,1
A Triggering Myth,Remedy of Abstraction,2006,Jazz,4.06,3,3.83,6
A Triggering Myth,Forgiving Eden,2002,Jazz,4.10,2,4.50,3
A.C.T,Imaginary Friends,2001,Eclectic,3.95,100,3.91,378
A.C.T,Today's Report,1999,Eclectic,4.25,151,4.29,715
A.C.T,Last Epic,2003,Eclectic,4.35,282,4.38,1540
A.C.T,Circus Pandemonium,2014,Eclectic,4.35,51,4.56,179
A((wake)),Northern Lights,2007,Technical,4.16,116,4.19,532
A|symmetry,Room 17: Hours Between Shadows And Light,2012,Progressive,3.99,9,3.67,40
Aalto,Ikaro,2014,Progressive,0.00,0,0.00,1
Aardvark',Tuntematon Sotilas,2005,Crossover,4.04,56,4.02,323
Aaron English,The Marriage of the Sun and the Moon,2007,Progressive,3.96,29,3.81,78
Aaron English,All The Waters Of This World,2002,Progressive,4.14,25,4.24,105
Abarax,Crying of the whales,2005,Symphonic,4.05,53,4.03,301
Abel Ganz,Back From The Zone,2001,Neo-Progressive,3.97,31,3.85,58
Abel Ganz,Abel Ganz,2014,Neo-Progressive,3.99,11,3.73,25
Abel Ganz,The Dangers of Strangers : 20th anniversary edition,1988,Neo-Progressive,4.08,57,4.08,210
Abel Ganz,Shooting Albatross,2008,Neo-Progressive,4.09,87,4.10,211
Abigail's Ghost,Unmastered,2014,PT Influenced,3.97,12,3.67,12
Abigail's Ghost,Black Plastic Sun,2015,PT Influenced,4.07,3,4.00,7
Abigail's Ghost,Selling Insincerity,2007,PT Influenced,4.13,132,4.15,370
Abigail's Ghost,D_letion,2009,PT Influenced,4.22,142,4.26,520
Abnormal Thought Patterns,Altered States of Consciousness,2015,Technical,4.04,10,3.90,15
Abnormal Thought Patterns,Abnormal Thought Patterns,2011,Technical,4.04,21,3.98,27
Abnormal Thought Patterns,Manipulation Under Anesthesia,2013,Technical,4.08,21,4.10,43
Above Symmetry,Ripples,2010,Melodic,4.02,53,3.98,170
Abraxas,Prophecies (Centurie),1998,Neo-Progressive,0.00,0,0.00,2
Absolace,Absolace,2009,PT Influenced,4.10,25,4.14,254
Abstract Shadows,Symphony of Hakel,2007,Progressive,3.98,54,3.92,130
Abus Dangereux,Le Quatrieme Mouvement,1980,Jazz,0.00,0,0.00,1
Abydos,Abydos (Andy Kuntz),2004,Melodic,4.34,204,4.39,1447
Acacia Avenue,Acacia Avenue,2009,Melodic,3.95,29,3.79,40
Acanthe,Someone Somewhere,2009,Crossover,0.00,0,0.00,3
Accordo Dei Contrari,Kublai,2011,Jazz,0.00,0,0.00,1
Accordo Dei Contrari,Kinesis,2007,Jazz,3.89,46,3.75,92
Acid Empire,Acid Empire,2014,Symphonic,4.10,2,4.50,17
Acid Empire & David Stanton,Only The Weak/Denial,2010,Progressive,4.07,3,4.00,2
Acid Mothers Temple & The Melting Paraiso U.F.O.,Absolutely Freak Out,1999,Psychedelic,3.98,4,3.13,2
Acid Rain,Game of life,2007,Technical DTI,4.07,2,4.00,13
Acid Rain,Game of life,2007,Progressive,4.08,7,4.14,8
Acid Rain,Worlds Apart EP,2008,Technical DTI,4.12,14,4.25,38
Ad Maiora,Repetita Iuvant,2016,Progressive,4.08,3,4.17,3
Adagio,Underworld,2003,"Power, Neo-Progressive, Classical",0.00,0,0.00,1124
Adagio,Archangels In Black,2009,"Power, Neo-Progressive, Classical",3.92,77,3.85,199
Adagio,Dominate,2006,"Power, Neo-Progressive, Classical",4.23,167,4.27,912
Adagio,A Band In Upperworld- Live,2004,"Power, Neo-Progressive, Classical",4.24,32,4.44,83
Adagio,Sanctus Ignis,2001,"Power, Neo-Progressive, Classical",4.42,146,4.51,978
Adam Holzman & Brave New World,The Big Picture,1997,"Jazz, Instrumental",3.97,32,3.86,68
Adamantra,Revival,2009,Power,4.05,5,3.90,15
Adamantra,For Ever,2006,Power,4.08,2,4.25,7
Adamantra,Act 2: Silent Narratives,2014,Power,4.17,15,4.40,39
Adonikam,Adonikam,2008,Symphonic,3.93,27,3.74,49
Adramelch,Lights from Oblivion,2012,Progressive,0.00,0,0.00,2
Adramelch,Opus,2015,Progressive,0.00,0,0.00,3
Adrian Belew,Op Zop Too Wah,1997,"Guitar Spotlight, Instrumental, Jazz, Eclectic",0.00,0,0.00,5
Adrian Belew,Lone Rhino,1982,"Guitar Spotlight, Instrumental, Jazz, Eclectic",4.06,1,3.50,1
Adrian Belew,Side Three,2006,"Guitar Spotlight, Instrumental, Jazz, Eclectic",4.07,1,4.00,1
Adrian Galysh,Tone Poet,2013,"Guitar Spotlight, Symphonic",4.07,2,4.00,9
Adrian Weiss,Easy Game,2014,"Guitar Spotlight, Neo-Progressive, Classical, Instrumental",4.18,12,4.50,6
Advent,Cantus Firmus,2006,"Eclectic, Gentle Giant & Influenced",4.02,51,3.98,125
Advent,Silent Sentinel,2015,"Eclectic, Gentle Giant & Influenced",4.05,12,3.96,28
Advent Horizon,Immured,2011,Heavy,4.10,8,4.25,22
Adventure,Beacon of light,2009,Symphonic,3.96,18,3.72,107
Adventure,Caught in the Web,2014,Symphonic,4.03,6,3.75,15
Aeon Spoke,Aeon Spoke,2004,AOR,3.98,16,3.75,52
Aeon Spoke,Aeon Spoke,2004,Progressive,4.07,3,4.00,34
