artist,album,albumyear,genre,bayesian,votes,rating,played
3,...To The Power of Three,1988,"Crossover, AOR",4.11,23,4.17,153
5,,0,,4.07,0,0.00,0
6,,0,,4.07,0,0.00,0
14,,0,,4.07,0,0.00,0
39,Amalgama,2015,Progressive,4.03,2,3.50,16
1974,1974 & The Death Of The Herald,2013,Progressive,4.00,9,3.78,25
2112,El Maravilloso Circo De Los Hermanos Lombardi,2012, Progressive,4.07,0,0.00,2
35007,Liquid.,2002,"Psychedelic, Instrumental",4.02,34,3.97,81
35007,Phase V,2005,"Psychedelic, Instrumental",4.12,27,4.17,165
24Unity,Lifeshines,2004,Crossover,3.90,20,3.65,64
24Unity,24Unity,2002,Crossover,3.90,24,3.69,76
24Unity,Unreleased Versions,2002,Crossover,4.07,5,4.10,18
25 Yard Screamer,Until All Are One,2011,Progressive Rock/Metal,4.02,1,2.50,4
25 Yard Screamer,Something That Serves To Warn Or Remind,2013,Progressive,4.05,3,3.83,7
25 Yard Screamer,Blacklight (promo),2006,Progressive,4.07,0,0.00,0
25 Yard Screamer,Cassandra,2007,Progressive,4.07,0,0.00,0
3 Legged Monster,Airwaive,2013,Progressive,4.05,3,3.83,7
3rd Ear Experience,Peacock Black,2013,Psychedelic ,4.04,1,3.00,2
3rd Ear Experience,Boi,2013,Psychedelic ,4.07,2,4.00,9
3rd Ear Experience,Incredible Good Fortune,2014,Psychedelic ,4.07,6,4.08,6
3rd World Leader,Picture Imperfect,2015,Progressive Rock/Metal,4.07,0,0.00,4
3rdegree,Narrow-Caster,2008,"Crossover, AOR",3.94,71,3.88,244
3rdegree,The Long Division,2012,"Crossover, AOR",4.07,1,4.00,2
3rdegree,Ones & Zeros: Vol. 1,2015,"Crossover, AOR",4.09,10,4.15,31
3rdegree,The Reunion Concerts,2008,"Crossover, AOR",4.09,6,4.17,8
3rdegree,Live At ProgDay 2009,2009,"Crossover, AOR",4.07,0,0.00,0
4/3 De Trio,Fabilesse,1998,Eclectic,4.07,1,4.00,6
4/3 De Trio,Ersatz,2004,Eclectic,4.08,4,4.13,7
4front,Radio Waves Goodbye,2001,"Jazz, Instrumental",4.03,10,3.90,26
4front,Malice In Wonderland,2012,"Jazz, Instrumental",4.11,26,4.15,84
4front,Gravity,1998,"Jazz, Instrumental",4.14,16,4.28,62
5bridgeS,The Thomas Tracks,2009,"Progressive, Symphonic",4.07,0,0.00,11
65daysofstatic,One Time for All Time,2005,Post-Rock,4.02,5,3.70,13
7 Months,7 Months,2001,,4.02,5,3.70,18
7 Months,7 Months,2001,Progressive,3.96,28,3.84,181
7Days,Into Forever,2010,"Melodic, Christian",4.11,45,4.14,218
7Days,The Weight Of The World,2006,"Melodic, Christian",4.33,169,4.37,1246
7for4,Splash,2014,"Jazz, Technical DTI, Rock Guitar Spotlight, Instrumental",4.05,12,4.00,45
7for4,Time,2004,"Jazz, Technical DTI, Rock Guitar Spotlight, Instrumental",4.16,101,4.19,450
7for4,Contact,2001,"Jazz, Technical DTI, Rock Guitar Spotlight, Instrumental",4.20,109,4.24,393
7for4,Diffusion,2008,"Jazz, Technical DTI, Rock Guitar Spotlight, Instrumental",4.34,180,4.38,889
7th Symphony,Written With Blood,2014,"Progressive, Symphonic, Female-Fronted",4.05,1,3.50,5
A Big Goodbye,History In Rewind,2014,Progressive Rock/Metal,4.05,1,3.50,4
A Chinese Firedrill,Circles,2006,Progressive,4.18,96,4.21,513
A Cosmic Trail,The Outer Planes,2010,Progressive Rock/Metal,4.05,1,3.50,3
