artist,album,albumyear,bayesian,votes,rating,played
3,3.2 - Third Impression,2021,4.54,5,4.60,44
3,3.2 - The Rules Have Changed,2018,4.52,11,4.55,42
3,...To The Power of Three,1988,3.97,6,3.83,171
39,Amalgama,2015,4.32,2,4.25,6
1974,1974 & The Echoes of War,2016,4.07,2,3.75,5
1974,1974 & The Death Of The Herald,2013,4.13,4,4.00,42
2112,El Maravilloso Circo De Los Hermanos Lombardi,2012,4.09,1,3.50,4
35007,Phase V,2005,4.15,3,4.00,174
35007,Liquid.,2002,4.71,4,4.88,109
23 Acez,Embracing the Madness,2018,4.63,4,4.75,25
23 Acez,Redemption Waves,2015,4.35,3,4.33,3
24Unity,Lifeshines,2004,4.29,4,4.25,78
24Unity,24Unity,2002,4.42,1,4.50,94
24Unity,Unreleased Versions,2002,4.25,1,4.00,23
25 Yard Screamer,Nemesis,2022,4.29,4,4.25,5
25 Yard Screamer,Until All Are One '2010',2020,4.25,1,4.00,1
25 Yard Screamer,The Pictures Within,2020,4.05,3,3.83,2
25 Yard Screamer,Natural Satellite,2019,4.18,5,4.10,14
25 Yard Screamer,Something That Serves To Warn Or Remind,2013,4.08,7,4.00,12
25 Yard Screamer,Until All Are One,2011,4.09,1,3.50,3
25 Yard Screamer,Blacklight (promo),2006,4.29,4,4.25,2
3 Legged Monster,Airwaive,2013,4.44,10,4.45,12
35 Tapes,Lost & Found,2019,4.32,5,4.30,16
3rd Ear Experience,Danny Frankel's 3rd Ear Experience,2021,4.33,11,4.32,12
3rd Ear Experience,Stones of a Feather,2016,4.45,3,4.50,4
3rd Ear Experience,Incredible Good Fortune,2014,4.23,8,4.19,19
3rd Ear Experience,Boi,2013,4.28,8,4.25,30
3rd Ear Experience,Peacock Black,2013,3.69,2,3.00,6
3rd World Leader,Picture Imperfect,2015,3.94,2,3.50,2
3RDegree,Ones & Zeros: Vol. 0,2018,4.06,10,4.00,24
3RDegree,Ones & Zeros: Vol. 1,2015,4.05,3,3.83,41
3RDegree,The Long Division,2012,4.15,3,4.00,15
3RDegree,Narrow-Caster,2008,4.25,1,4.00,261
3RDegree,Human Interest Story,1996,4.22,6,4.17,22
4front,Malice In Wonderland,2012,4.25,11,4.23,107
4front,Radio Waves Goodbye,2001,4.35,6,4.33,44
4front,Gravity,1998,4.41,6,4.42,72
7 Months,7 Months,2001,4.15,3,4.00,29
7Days,Into Forever,2010,4.09,1,3.50,10
7Days,The Weight Of The World,2006,4.68,13,4.73,50
7for4,Splash,2014,4.57,9,4.61,70
7for4,Diffusion,2008,4.64,11,4.68,923
7for4,Time,2004,4.75,19,4.79,624
7for4,Contact,2001,4.65,13,4.69,473
7th Symphony,Written With Blood,2014,4.32,2,4.25,11
A Big Goodbye,History In Rewind,2014,4.41,6,4.42,6
A Chinese Firedrill,Circles,2006,4.58,14,4.61,30
A Cosmic Trail,II: Mistral,2013,4.07,2,3.75,3
A Cosmic Trail,The Outer Planes,2010,4.25,1,4.00,5
A Dying Planet,When The Skies Are Grey,2021,4.52,14,4.54,25
A Dying Planet,Facing The Incurable,2018,4.11,5,4.00,3
A Formal Horse,Meat Mallet,2021,4.29,4,4.25,33
A Formal Horse,Here Comes A Man From The Council With A Flamethrower,2019,4.08,13,4.04,30
A Formal Horse,Morning Jigsaw,2015,4.63,4,4.75,5
A Formal Horse,A Formal Horse,2014,4.63,4,4.75,10
A Helmet of Gnats,Travelogue,2020,4.23,8,4.19,22
A Helmet of Gnats,Timeslip,2004,4.25,1,4.00,2
A Liquid Landscape,The Largest Fire Known To Man,2014,4.13,4,4.00,24
A Liquid Landscape,Nightingale Express,2012,4.19,2,4.00,48
A Lonely Crowd,Transients,2014,4.25,3,4.17,4
A Lonely Crowd,User Hostile,2011,4.04,5,3.90,5
A Perfect Circle,Eat the Elephant,2018,4.18,8,4.13,22
A Perfect Circle,eMOTIVe,2004,3.93,9,3.83,26
A Perfect Circle,Thirteenth Step,2003,4.91,12,5.00,67
A Perfect Circle,Mer de Noms,2000,4.63,4,4.75,12
A Perfect Day,The Deafening Silence,2016,4.25,1,4.00,2
A Secret River,Colours of Solitude,2014,4.21,11,4.18,56
A.C.T,Heatwave (Japanese Edition),2021,4.63,27,4.65,59
A.C.T,Rebirth,2019,4.56,27,4.57,91
A.C.T,Silence,2015,4.67,20,4.70,53
A.C.T,Circus Pandemonium,2014,4.73,39,4.74,141
A.C.T,Last Epic,2003,4.83,65,4.85,218
A.C.T,Imaginary Friends,2001,4.79,18,4.83,76
A.C.T,Today's Report,1999,4.70,17,4.74,70
A((wake)),A((wake)),2011,4.58,8,4.63,11
A((wake)),Northern Lights,2007,3.92,1,3.00,2
A|symmetry,Fragility,2016,4.52,9,4.56,13
A|symmetry,Room 17: Hours Between Shadows And Light,2012,4.53,6,4.58,9
Aalto,Ikaro,2014,3.95,3,3.67,22
Aardvark',Tuntematon Sotilas,2005,4.11,5,4.00,365
Aaron Ecks,Music to Mars and Home Again,2017,4.28,6,4.25,12
Aaron English,American [fever] Dream,2010,3.75,1,2.50,13
Aaron English,The Marriage of the Sun and the Moon,2007,4.75,5,4.90,135
Aaron English,All The Waters Of This World,2002,4.78,6,4.92,236
Abarax,Crying of the whales,2005,4.72,15,4.77,484
Abel Ganz,The Life Of The Honey Bee and Other Moments Of Clarity,2020,4.22,13,4.19,21
Abel Ganz,Abel Ganz,2014,4.71,26,4.73,286
Abel Ganz,Shooting Albatross,2008,4.49,21,4.50,337
Abel Ganz,Back From The Zone,2001,4.69,2,5.00,70
Abel Ganz,The Dangers of Strangers : 20th anniversary edition,1988,4.68,19,4.71,383
Abigail's Ghost,Black Plastic Sun,2015,4.20,7,4.14,30
Abigail's Ghost,D_letion,2009,4.42,14,4.43,640
Abigail's Ghost,Selling Insincerity,2007,4.13,4,4.00,465
Abnormal Thought Patterns,Altered States of Consciousness,2015,4.64,11,4.68,41
Abnormal Thought Patterns,Manipulation Under Anesthesia,2013,4.69,2,5.00,8
Abnormal Thought Patterns,Abnormal Thought Patterns,2011,4.47,5,4.50,6
Above Symmetry,Ripples,2010,4.42,7,4.43,27
